# system info system_0_tb on 2021.05.24.00:05:26
system_info:
name,value
DEVICE,EP2C35F672C6
DEVICE_FAMILY,Cyclone II
GENERATION_ID,1621825480
#
#
# Files generated for system_0_tb on 2021.05.24.00:05:26
files:
filepath,kind,attributes,module,is_top
system_0/testbench/system_0_tb/simulation/system_0_tb.vhd,VHDL,,system_0_tb,true
system_0/testbench/system_0_tb/simulation/submodules/system_0.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_sdram_0_s1_translator_avalon_universal_slave_0_agent.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_cfi_flash_0_uas_translator_avalon_universal_slave_0_agent.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_width_adapter.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_width_adapter_001.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_width_adapter_002.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_width_adapter_003.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_cpu_0_instruction_master_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_cpu_0_data_master_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_burst_adapter.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_burst_adapter_001.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_cpu_0_jtag_debug_module_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_sdram_0_s1_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_epcs_controller_epcs_control_port_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_cfi_flash_0_uas_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_sysid_qsys_0_control_slave_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_jtag_uart_0_avalon_jtag_slave_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_timer_0_s1_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_lcd_16207_0_control_slave_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_button_pio_s1_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_switch_pio_s1_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_dm9000a_avalon_slave_0_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_seg7_display_avalon_slave_0_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_sram_0_avalon_slave_0_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_a1_0_avalon_slave_0_translator.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_rst_controller.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/system_0_rst_controller_002.vhd,VHDL,,system_0,false
system_0/testbench/system_0_tb/simulation/submodules/altera_avalon_clock_source.vhd,VHDL,,altera_avalon_clock_source,false
system_0/testbench/system_0_tb/simulation/submodules/altera_avalon_reset_source.vhd,VHDL,,altera_avalon_reset_source,false
system_0/testbench/system_0_tb/simulation/submodules/altera_sdram_partner_module.vhd,VHDL,,altera_sdram_partner_module,false
system_0/testbench/system_0_tb/simulation/submodules/altera_inout.vhd,VHDL,,altera_tristate_conduit_bridge_translator,false
system_0/testbench/system_0_tb/simulation/submodules/altera_tristate_conduit_bridge_translator.vhd,VHDL,,altera_tristate_conduit_bridge_translator,false
system_0/testbench/system_0_tb/simulation/submodules/altera_inout.vhd,VHDL,,altera_conduit_pin_divider,false
